id,installer,longitude,latitude,num_private,basin,region_code,district_code,population,public_meeting,scheme_management,permit,construction_year,management,payment,quantity,water_quality_by_region,water_quality_by_extraction_type,water_quality_by_waterpoint_type,water_quality_by_source,water_quality_by_gps_height
57831,DWE,32.89597856,-8.96593966,0,Lake Rukwa,12,6,0,True,VWC,False,0,vwc,pay annually,enough,0,0,0,0,0
8085,DWE,35.84194785,-4.520275099999999,0,Internal,1,1,0,True,VWC,False,0,vwc,pay monthly,enough,0,0,0,0,0
30748,AMREF,33.75119154,-1.78600559,0,Lake Victoria,20,3,350,missing,VWC,True,2011,vwc,unknown,enough,14,6,1,2,1186
18878,DWE,33.68098974,-2.69074991,0,Lake Victoria,19,2,0,True,missing,True,0,vwc,never pay,insufficient,7,4,1,1,0
10581,DWE,30.65707551,-1.15524573,0,Lake Victoria,18,1,0,True,missing,True,0,other,never pay,seasonal,0,0,0,0,0
7505,Commu,34.10875175,-9.3383402,0,Lake Nyasa,11,3,0,True,Parastatal,False,2008,vwc,pay annually,enough,0,0,0,0,0
51442,other,37.88382932,-4.32319939,0,Pangani,3,3,420,True,Water authority,True,2011,vwc,never pay,insufficient,0,0,0,0,0
53128,Government,36.71146096,-6.4489971,0,Wami / Ruvu,1,0,0,True,VWC,True,0,vwc,never pay,enough,12,1,1,1,0
20578,other,34.09349942,-1.20801775,0,Lake Victoria,20,6,120,True,Private operator,False,1993,vwc,unknown,enough,0,0,0,0,0
9005,KKKT,35.56400112,-3.80846098,0,Internal,21,3,258,missing,WUG,True,2004,wug,never pay,enough,0,0,0,0,0
38442,other,29.83103838,-4.46985475,0,Lake Tanganyika,16,2,370,True,Water authority,False,2011,vwc,never pay,enough,0,0,0,0,0
2577,HESAWA,30.69971758,-2.43744929,0,Lake Victoria,18,30,0,False,WUG,False,0,wug,never pay,enough,0,0,0,0,0
8870,other,38.9186243,-10.1193389,0,Ruvuma / Southern Coast,80,53,500,True,VWC,False,1981,vwc,never pay,dry,19,2,2,1,317
60385,other,31.17860665,-7.8494288,0,Lake Rukwa,15,3,200,True,VWC,True,2009,private operator,pay annually,enough,0,0,0,0,0
51102,other,33.65613077,-9.31765598,0,Lake Nyasa,12,4,0,True,VWC,missing,0,vwc,never pay,insufficient,0,0,0,0,0
32534,WEDECO,34.09481263,-3.4332186,0,Internal,17,6,0,True,WUG,True,0,wug,never pay,enough,0,0,0,0,0
37976,other,34.89384854,-11.04445168,0,Ruvuma / Southern Coast,10,3,63,missing,VWC,True,2013,vwc,unknown,enough,0,0,0,0,0
53422,other,35.5294265,-3.82149385,0,Internal,21,3,190,True,VWC,True,1997,vwc,never pay,enough,0,0,0,0,0
7854,DWE,34.61965327,-9.18777104,0,Rufiji,11,4,15,True,WUA,True,1993,wua,pay monthly,enough,0,0,0,0,0
72901,other,38.11610924,-4.979776,0,Pangani,4,2,200,True,VWC,False,2003,vwc,never pay,enough,0,0,0,0,0
27693,other,31.73670005,-1.4393115,0,Lake Victoria,18,2,0,True,VWC,True,0,vwc,never pay,dry,12,0,0,8,0
53627,HESAWA,33.1244332,-2.90122114,0,Lake Victoria,19,7,0,True,VWC,True,0,vwc,pay annually,enough,0,0,0,0,0
57862,other,38.26728764,-4.6683255,0,Pangani,4,1,1,True,VWC,True,1992,vwc,never pay,enough,0,0,0,0,0
48704,DANID,35.82429011,-7.43493176,0,Rufiji,11,1,550,True,VWC,True,1987,vwc,pay annually,enough,0,0,0,0,0
46163,DWE,31.66682393,-8.65415711,0,Lake Rukwa,15,2,300,True,VWC,True,1972,vwc,never pay,enough,0,0,0,0,0
52002,DWE,31.11274538,-1.74893795,0,Lake Victoria,18,1,0,True,WUA,True,0,other,pay annually,enough,0,0,0,0,0
53755,other,33.89777998,-2.00136071,0,Lake Victoria,20,4,500,True,WUG,False,2009,wug,pay monthly,enough,14,7,1,2,1383
52373,other,37.32456846,-3.39150213,0,Pangani,3,6,4,True,Water authority,True,1998,water authority,pay per bucket,insufficient,0,0,0,0,0
14489,other,0.0,-2e-08,0,Lake Victoria,17,1,0,True,WUG,False,0,wug,other,enough,0,0,0,0,0
62638,other,34.15702664,-4.94912126,0,Internal,13,2,450,True,VWC,missing,2000,vwc,never pay,insufficient,0,0,0,0,0
67781,other,37.04553928,-7.55598137,0,Rufiji,5,1,150,True,VWC,True,2009,vwc,pay monthly,enough,0,0,0,0,0
5582,other,31.08098544,-6.52149926,0,Lake Rukwa,15,1,300,True,VWC,False,2010,vwc,pay monthly,enough,16,6,1,2,1088
39448,other,37.555564600000004,-6.89021803,0,Wami / Ruvu,5,6,80,True,VWC,True,2009,vwc,never pay,enough,0,0,0,0,0
57893,other,37.1290294,-6.757248599999999,0,Wami / Ruvu,5,1,275,True,VWC,True,1986,vwc,pay monthly,enough,0,0,0,0,0
18443,Hesawa,34.673460399999996,-1.74105905,0,Lake Victoria,20,2,540,True,VWC,missing,1996,vwc,pay monthly,insufficient,14,1,1,1,1467
22652,DWE,31.1185239,-1.74039281,0,Lake Victoria,18,1,0,True,WUA,True,0,vwc,pay annually,enough,0,0,0,0,0
45065,other,30.53650466,-2.73709982,0,Lake Victoria,18,30,0,True,WUG,False,0,wug,never pay,enough,0,0,0,0,0
52025,DWE,39.13556144,-4.94375449,0,Pangani,4,8,130,True,VWC,True,1994,vwc,never pay,dry,0,0,0,0,0
71648,DWE,36.70436307,-2.65488318,0,Internal,2,6,450,True,missing,missing,2009,unknown,other,unknown,10,0,0,14,2718
29740,other,32.49069022,-9.06607266,0,Lake Rukwa,12,6,0,True,VWC,True,0,vwc,never pay,enough,0,0,0,0,0
47014,DWE,35.36537715,-8.76145719,0,Rufiji,5,3,100,True,missing,True,1984,vwc,never pay,seasonal,0,0,0,0,0
22368,DWE,35.79980767,-10.71541992,0,Ruvuma / Southern Coast,10,2,0,True,VWC,True,1983,vwc,never pay,dry,0,0,0,0,0
40011,DWE,29.654486100000003,-4.7728444,0,Lake Tanganyika,16,3,225,True,VWC,True,1984,vwc,pay monthly,insufficient,0,0,0,0,0
43516,other,31.62767582,-7.9840739,0,Lake Tanganyika,15,4,1,False,Other,True,1982,other,pay per bucket,dry,0,0,0,0,0
72861,other,37.98600989,-7.21550316,0,Wami / Ruvu,5,2,200,True,VWC,True,2007,vwc,never pay,insufficient,0,0,0,0,0
37490,DWE,33.74071877,-3.1270363999999997,0,Lake Victoria,17,2,0,True,WUG,False,0,wug,pay when scheme fails,seasonal,0,0,0,0,0
37462,other,39.17450957,-8.52879958,0,Ruvuma / Southern Coast,80,13,256,True,missing,True,2007,vwc,never pay,insufficient,0,0,0,0,0
23651,DWE,38.88324179,-5.43830389,0,Pangani,4,5,100,True,VWC,False,1973,vwc,pay per bucket,insufficient,0,0,0,0,0
32398,Hesawa,33.9041075,-1.49407304,0,Lake Victoria,20,6,250,False,VWC,False,1983,vwc,never pay,enough,0,0,0,0,0
66684,other,31.98360222,-6.69689475,0,Lake Rukwa,15,1,80,True,VWC,True,1988,vwc,pay annually,enough,16,6,1,2,1196
51501,DWE,34.72801124,-10.29722641,0,Lake Nyasa,11,5,450,True,VWC,False,2008,vwc,never pay,dry,0,0,0,0,0
63950,DWE,36.8126501,-3.47768251,0,Pangani,2,2,100,True,VWC,True,2000,vwc,pay per bucket,insufficient,0,0,0,0,0
64065,other,33.66101753,-9.32542683,0,Lake Nyasa,12,4,0,True,VWC,missing,0,vwc,never pay,insufficient,0,0,0,0,0
29722,other,35.33463488,-3.51457209,0,Internal,24,30,800,True,VWC,True,1998,vwc,pay per bucket,enough,0,0,0,0,0
59977,DWE,37.39726123,-3.31149218,0,Pangani,3,4,80,True,VWC,True,1975,vwc,unknown,insufficient,0,0,0,0,0
19774,District Council,37.56261665,-3.5086633000000003,0,Pangani,3,2,430,True,WUG,False,1993,wug,never pay,insufficient,0,0,0,0,0
5977,DWE,37.42568466,-3.33431925,0,Pangani,3,4,1,False,VWC,True,1974,vwc,unknown,insufficient,0,0,0,0,0
60640,DWE,36.64908664,-3.23586499,0,Pangani,2,2,150,True,VWC,True,1990,vwc,pay when scheme fails,insufficient,0,0,0,0,0
58325,other,38.07562314,-4.45853566,0,Pangani,3,3,210,True,Water authority,True,2013,vwc,pay monthly,enough,0,0,0,0,0
56386,DWE,32.87469644,-1.92916438,0,Lake Victoria,19,1,300,missing,missing,True,2002,vwc,never pay,insufficient,0,0,0,0,0
68899,CES,37.21210761,-3.2606322,0,Pangani,3,5,86,True,Water Board,True,1999,water board,pay per bucket,enough,0,0,0,0,0
36790,other,33.52950123,-9.29453105,0,Lake Nyasa,12,4,0,missing,VWC,missing,0,vwc,never pay,insufficient,0,0,0,0,0
43806,DWE,38.86161652,-5.17721378,0,Pangani,4,3,200,True,VWC,False,1983,vwc,never pay,seasonal,11,2,2,1,162
8059,other,39.19418204,-6.91744912,0,Wami / Ruvu,7,2,100,missing,WUG,False,2000,wug,pay per bucket,enough,0,0,0,0,0
39298,DWE,31.86959775,-8.66157943,0,Lake Rukwa,15,2,1000,True,VWC,False,1984,vwc,never pay,enough,0,0,0,0,0
17144,other,34.89064578,-4.67784873,0,Internal,13,2,1,True,VWC,missing,2000,vwc,never pay,insufficient,0,0,0,0,0
51798,DWE,31.74211055,-8.42983433,0,Lake Rukwa,15,2,359,True,VWC,False,2009,vwc,never pay,insufficient,0,0,0,0,0
71522,DWE,36.70517406,-3.31440708,0,Pangani,2,2,200,True,VWC,True,1998,vwc,never pay,enough,0,0,0,0,0
6185,RWE,38.536603799999995,-4.97636281,0,Pangani,4,2,200,True,VWC,False,1978,vwc,never pay,insufficient,0,0,0,0,0
6062,DANID,35.38820576,-7.65695596,0,Rufiji,11,1,1,True,VWC,True,1992,vwc,pay annually,dry,0,0,0,0,0
18001,other,39.18062853,-6.94495738,0,Wami / Ruvu,7,2,1,missing,WUG,False,2000,wug,unknown,enough,0,0,0,0,0
