id,status_group
42853,functional needs repair
61867,functional
73134,non functional
4898,functional
52481,non functional
2826,non functional
3757,functional
20669,non functional
14742,non functional
57921,functional
34182,non functional
49447,functional
49143,functional
12261,functional
11739,functional
1060,non functional
14288,functional
65472,non functional
25976,non functional
21783,non functional
10675,functional
73857,functional needs repair
3115,functional
40494,functional
52589,non functional
28225,functional
23267,functional
74036,functional
48347,functional needs repair
34818,functional
17595,functional
52683,non functional
19239,functional
34395,non functional
68791,non functional
57099,functional
46186,functional
14566,functional
46628,functional
64101,functional needs repair
9764,functional
53313,functional
38816,functional
18181,non functional
39137,non functional
39568,functional
31165,non functional
10582,functional
8392,non functional
29999,non functional
22023,functional
6130,functional
20958,functional
43225,non functional
18204,functional
53861,functional
57504,non functional
28388,functional
10514,non functional
55400,functional
27926,functional
2879,functional
7621,non functional
12529,non functional
43197,functional
50587,non functional
37727,functional
24724,functional
66086,functional
52054,functional needs repair
12717,functional
41742,non functional
38853,non functional
48618,non functional
27951,non functional
52669,non functional
15692,non functional
27196,non functional
37773,functional needs repair
18765,functional
27190,non functional
4840,functional
24522,functional
46748,non functional
65981,non functional
29777,non functional
17200,non functional
32183,functional
16852,functional
12611,functional
8923,functional
39185,functional
70042,functional
42862,non functional
66241,functional
36241,functional
42924,functional
9563,functional
47071,functional
39804,functional
55013,functional needs repair
66437,functional
53865,functional
39243,non functional
70651,functional
17225,functional
59289,non functional
44326,functional
29812,non functional
42173,functional
71970,non functional
8499,functional
57169,non functional
47516,non functional
6951,functional
6233,functional
22901,functional
53794,functional
57182,non functional
51170,functional
59077,functional
73232,non functional
11460,non functional
13492,non functional
21391,functional
27268,functional
13586,functional
42520,functional
21126,non functional
33590,functional
55591,functional needs repair
33227,functional
43426,functional
61833,non functional
60842,non functional
6993,non functional
1357,non functional
48878,functional
74084,functional
62923,functional
69663,non functional
25091,non functional
57229,non functional
62146,functional
5961,functional
4227,functional
57552,functional
6553,functional
22805,functional
48567,functional needs repair
7549,functional
54049,functional
72468,functional
67973,functional
19987,functional
40353,non functional
52887,functional needs repair
54285,functional
58199,functional
32286,functional
42009,functional
5605,non functional
73198,non functional
21450,functional
60014,functional
27070,non functional
55980,functional
45270,non functional
2430,non functional
69345,functional
121,functional
22671,non functional
18430,functional
64727,non functional
1340,non functional
49771,non functional
3779,functional needs repair
69290,functional
3042,non functional
9790,non functional
33942,non functional
31629,non functional
11909,non functional
43068,functional
46020,non functional
54236,functional
51374,functional
14580,non functional
5659,non functional
1859,non functional
60284,functional
31005,non functional
12214,non functional
26134,functional
65046,functional
23983,functional
67472,functional
16944,non functional
67905,non functional
63076,non functional
37527,functional
6710,non functional
24476,functional
1325,functional
14355,functional
54344,functional
7155,functional
18060,functional
16953,non functional
50608,non functional
48660,functional
11515,functional
1994,functional
19545,functional
71462,functional
15953,functional
4837,functional
68508,non functional
66224,non functional
14660,non functional
12929,functional needs repair
4745,non functional
42345,functional
61077,functional
30279,non functional
3473,non functional
67971,functional
59972,non functional
46006,non functional
49440,non functional
69814,non functional
55866,non functional
16623,non functional
50528,functional
53072,functional
2998,functional
14627,functional
11974,non functional
19531,functional
48045,functional
581,non functional
15120,non functional
42089,functional
68846,non functional
5105,functional
48893,functional
51462,non functional
60150,non functional
66207,functional
50875,non functional
43504,non functional
46585,non functional
60459,functional
34007,functional
65095,non functional
13218,functional
73271,functional
55962,non functional
22890,functional
67139,non functional
39500,non functional
69242,non functional
25030,functional
67622,functional
4442,functional
70018,functional
6943,non functional
18807,non functional
6223,non functional
34172,functional
68523,non functional
20441,functional
61420,non functional
4847,functional
6682,functional
65208,functional
5603,functional
59031,non functional
63149,non functional
2500,functional
31576,functional
13945,functional
72196,non functional
68908,functional
22392,non functional
13165,functional
19745,functional
55973,functional
40928,non functional
192,functional
43677,non functional
21679,functional
21209,functional needs repair
19037,non functional
45860,non functional
55172,functional
45861,non functional
54502,functional
51379,non functional
45526,functional needs repair
20542,non functional
15582,non functional
65752,functional needs repair
27863,functional
28903,non functional
39560,functional
6089,non functional
67324,non functional
54563,functional
7866,functional
70337,non functional
12761,functional
1281,functional
1299,functional
38578,functional
2834,non functional
12749,non functional
4226,functional
6878,functional
19746,functional
71759,non functional
62989,functional
69568,functional
4774,functional
45835,functional
54831,functional
37371,functional
38371,functional
22010,non functional
3880,functional
62312,non functional
61259,non functional
53502,non functional
12573,functional
59190,functional
52023,functional needs repair
40562,functional
52592,functional
54257,non functional
25836,non functional
65759,functional
36255,non functional
35709,functional
511,functional
7418,functional
7997,functional
18136,non functional
38577,functional
15462,non functional
21567,non functional
21359,functional
64630,non functional
67793,functional
63708,functional
41969,functional
23579,functional
29710,functional
10373,functional
32718,functional
58747,non functional
39200,functional
3005,non functional
61192,functional
10474,functional
45349,non functional
47089,non functional
46293,functional
48573,functional
48088,non functional
63515,functional
41719,functional
67750,functional
27575,non functional
58863,functional needs repair
73146,functional
35298,non functional
69430,functional
24436,non functional
58091,non functional
6824,non functional
70483,non functional
1544,functional
64615,functional
8107,functional
16983,non functional
11116,non functional
4744,functional
67906,functional
64375,functional
70640,functional
53060,functional
20479,non functional
25978,non functional
57198,functional needs repair
36473,functional
62153,non functional
72008,functional
17773,non functional
10955,functional
32483,non functional
24124,non functional
72563,non functional
60098,functional
63794,functional
23058,functional needs repair
3128,functional
44265,functional
12256,functional
18555,functional
68956,non functional
74214,non functional
73200,functional
21326,functional
305,functional
24558,non functional
68405,non functional
55859,functional
29878,functional needs repair
45141,functional
16293,functional
14567,functional
20774,non functional
54299,functional
55491,non functional
45626,non functional
39855,functional
63052,functional
7991,non functional
74141,functional
34618,functional
56293,non functional
31137,non functional
67969,non functional
45785,functional
74045,non functional
36647,functional
64023,non functional
61720,non functional
2546,functional needs repair
8368,functional needs repair
4636,functional
53141,functional
58011,functional
57319,non functional
24417,functional
43448,non functional
27302,functional
17263,functional needs repair
24492,functional
41237,functional
42732,non functional
10578,non functional
44272,non functional
64506,non functional
43608,non functional
65954,functional needs repair
19852,non functional
73477,functional
38664,non functional
23435,functional
47942,non functional
17454,functional
64185,non functional
4444,functional
31843,functional
29865,non functional
50363,functional
10890,functional
52269,functional
5750,functional
73007,functional
157,non functional
5134,non functional
36005,functional
7998,functional
50261,functional
48434,non functional
42311,functional needs repair
8666,non functional
45160,non functional
47573,non functional
46922,non functional
69182,non functional
313,functional needs repair
54204,functional
34569,functional
55561,functional
34796,functional
38707,non functional
67637,non functional
63955,functional
7038,functional
35326,non functional
72959,non functional
36233,functional
42394,non functional
45635,functional needs repair
32279,functional
69842,functional
66134,functional
45195,non functional
71992,functional
9699,functional
23430,non functional
29711,functional
64459,functional
24254,functional
70010,functional
25726,functional
15323,non functional
68964,functional
66105,functional
10371,functional
2967,non functional
27383,non functional
43434,functional
61539,non functional
34872,functional
5734,functional
3231,non functional
4864,non functional
3841,functional
49292,non functional
33698,functional
55766,non functional
7894,non functional
47915,non functional
33087,functional
19576,functional
3711,functional
25632,non functional
66044,functional needs repair
12679,non functional
8281,non functional
46660,functional
48269,non functional
40590,functional
72865,functional
11243,functional
72160,non functional
27033,functional
21273,functional
44837,functional
39323,functional
57470,functional
51463,non functional
2679,functional
66585,functional needs repair
8680,functional
49078,non functional
71423,functional
33660,functional needs repair
39499,functional
36394,non functional
48664,non functional
15763,functional needs repair
18425,functional
30895,functional
70908,functional
41171,functional
9927,functional
51321,functional
2656,functional
18341,non functional
31693,non functional
63788,functional
4946,non functional
28632,functional
73008,non functional
27815,functional
46289,non functional
54888,functional needs repair
18716,functional
19729,functional
2392,functional
61560,functional
53972,functional needs repair
62331,functional
26621,non functional
63906,non functional
72481,functional
30,functional
53600,non functional
67120,functional
46789,functional
13701,functional
28302,functional
5054,non functional
40639,functional needs repair
32857,functional
5482,functional
51840,non functional
7936,functional needs repair
33749,functional
37119,functional
42830,functional needs repair
63095,non functional
69781,non functional
54684,non functional
18412,functional
21399,functional
31945,non functional
15340,functional
72724,functional needs repair
27676,functional
13735,non functional
983,functional
31821,non functional
29205,functional needs repair
51870,functional
19759,non functional
19065,functional
38921,non functional
35899,functional
29839,functional
42564,non functional
3475,non functional
63117,functional
2423,non functional
42846,functional needs repair
37995,functional
62824,functional
34924,functional
27401,functional needs repair
10931,non functional
61213,functional
22120,functional
60159,functional
15985,functional
24071,functional
29723,functional
28267,non functional
44703,functional
52781,functional
19343,functional
39480,non functional
35973,non functional
48417,non functional
52600,non functional
56823,functional
58180,functional
18618,functional needs repair
34169,functional needs repair
50803,non functional
5803,non functional
9011,non functional
20404,functional
9885,functional
27338,functional
22385,functional
17426,functional
68088,non functional
23723,non functional
39165,functional
58521,non functional
81,non functional
20508,functional
33699,functional
41239,functional
20470,functional
25276,functional
48953,functional
8920,non functional
67066,functional
5840,non functional
60646,non functional
61320,functional
5914,functional
30622,functional
5585,functional
46724,functional
29741,functional
41901,functional
69234,non functional
68020,functional
32609,non functional
66369,non functional
62476,functional
27312,non functional
21931,non functional
1806,functional
16604,non functional
22285,non functional
22675,functional
65901,functional needs repair
47008,functional
19019,non functional
36869,functional
68361,functional
70319,functional
1783,functional needs repair
17336,functional
5495,functional
61976,functional
52157,non functional
49868,non functional
30787,non functional
70165,non functional
66827,functional
5413,functional
15576,non functional
65099,non functional
72726,functional
52274,non functional
36087,non functional
1330,functional
48951,functional
29066,functional
49033,non functional
21376,functional
46617,functional
73381,functional
56595,functional
65191,functional
52652,functional
27754,functional
12392,functional
8331,non functional
39901,functional
20809,functional
43544,non functional
67621,functional
30415,non functional
27730,functional
7037,functional needs repair
65682,functional
11010,functional
13528,non functional
62898,non functional
38569,functional
24226,functional
56648,functional
12783,non functional
71816,functional
42647,non functional
28699,functional
55730,non functional
57712,functional
21211,non functional
53951,non functional
24787,non functional
25517,non functional
30575,non functional
57338,functional
13422,non functional
60728,functional
55244,non functional
53004,non functional
9654,non functional
72372,functional
489,functional needs repair
32873,non functional
19670,non functional
58430,non functional
29165,non functional
58058,functional
56741,functional
54319,functional
23310,non functional
48497,functional
20158,non functional
8355,functional
4473,functional
1157,non functional
47043,functional
47601,functional
57693,non functional
269,functional
15867,non functional
13835,non functional
46573,functional
25671,non functional
64666,non functional
69449,non functional
59296,non functional
11094,functional
67391,functional
65141,non functional
23169,functional
35647,non functional
33047,functional
71860,non functional
14077,functional
50588,functional
15124,non functional
29517,functional
73751,functional
64660,non functional
61993,non functional
73089,non functional
35346,functional
27894,functional
15209,functional
51480,non functional
48224,non functional
30992,functional
19226,functional
6314,functional
59849,functional
59249,functional
811,functional
52081,functional
25267,non functional
43145,functional
29632,non functional
65408,functional
8374,functional
56107,non functional
18217,functional
68615,non functional
60130,non functional
54055,functional
74124,functional
65872,functional
6640,functional
21396,functional
12608,non functional
1286,functional
18404,functional
52271,non functional
59681,functional
184,functional
57356,functional needs repair
15848,non functional
55798,functional
47660,functional
25818,functional
73902,non functional
42301,non functional
120,functional
23233,functional
24272,functional
62624,functional
43914,functional
35966,functional
30098,functional
41652,non functional
32961,functional needs repair
56818,functional
65871,non functional
23741,functional
29004,non functional
885,functional
39883,functional
58852,functional
62973,functional
36803,functional needs repair
59239,non functional
14221,non functional
65117,non functional
41069,functional
33247,functional
24249,non functional
10885,functional
7681,non functional
66837,non functional
4052,functional
31324,functional
55700,non functional
13102,functional
6506,functional
28979,functional
45737,functional
51892,functional
36893,functional
45309,functional
37453,functional
46599,functional
1182,functional
64496,non functional
66204,functional
40594,functional
49596,functional
23312,functional
20243,non functional
53197,non functional
2606,functional
62743,non functional
50958,functional
57812,functional
12329,functional
2265,functional
59219,non functional
13020,non functional
9686,functional
57415,functional needs repair
66385,functional
36587,functional needs repair
27262,functional
57064,non functional
30357,functional
52614,functional
8585,functional needs repair
34978,non functional
14702,functional
634,functional
56989,non functional
29563,non functional
24247,functional
2989,functional
30765,functional
1865,non functional
64350,functional
17769,functional
19414,functional
16740,functional
9970,non functional
43025,non functional
19878,non functional
6149,functional needs repair
30916,functional needs repair
38550,functional
33151,non functional
54981,non functional
51513,functional
18443,functional
15230,non functional
51072,non functional
35572,functional needs repair
52012,non functional
55857,functional
50273,non functional
40787,functional
29403,functional
49965,non functional
54948,functional
43672,functional
38407,non functional
52846,functional
4718,functional
21224,non functional
23891,functional needs repair
11337,functional
31918,functional
27165,non functional
23045,functional
66346,functional
59519,functional
49750,functional
16296,functional
55779,non functional
30166,non functional
20727,functional
57452,functional
1672,non functional
10232,non functional
54799,functional needs repair
44656,functional
10688,functional
27007,functional
23229,functional
67312,non functional
25055,functional
52881,functional
20127,non functional
36541,non functional
3623,non functional
47038,non functional
15843,non functional
40286,non functional
6672,non functional
20701,non functional
47050,functional
51309,non functional
25274,functional
3236,non functional
34366,non functional
10739,functional
33283,functional
34763,functional
38345,functional
4212,non functional
44325,functional needs repair
56480,non functional
13782,functional
34057,non functional
62199,non functional
35386,functional
57858,functional
65194,non functional
71161,functional
38691,functional
63215,functional
2728,functional needs repair
33738,non functional
30398,functional
5425,non functional
65077,non functional
50121,non functional
36323,non functional
70992,functional
24200,functional
3438,non functional
63457,functional
56760,functional
72955,functional
28217,non functional
19354,functional
3979,non functional
15718,non functional
58596,non functional
9910,non functional
21340,non functional
53711,functional
595,functional needs repair
43309,functional
19014,non functional
73860,non functional
52636,functional
39305,non functional
31940,non functional
13018,non functional
27180,functional
9992,functional
57365,non functional
60503,non functional
28711,functional
21219,functional
42414,functional
10732,non functional
73550,functional
23179,functional
52485,non functional
37298,functional
13047,functional
57345,functional
19762,non functional
23344,functional needs repair
47112,functional needs repair
1022,non functional
47455,functional
13295,functional
1892,non functional
50610,functional
26368,functional
1428,functional
9412,functional
33617,functional
24152,functional needs repair
55397,non functional
21051,functional
56762,functional
68798,functional
8044,functional
73673,functional
26789,functional needs repair
68617,non functional
48392,functional
18840,functional
28009,non functional
46829,functional
43980,functional
33288,non functional
25766,non functional
32488,functional
352,functional
20840,non functional
49058,functional
26030,functional
11935,functional
32329,functional
43227,non functional
2964,functional
22923,functional
3306,functional needs repair
12441,non functional
12663,non functional
11586,functional
8035,functional
41979,non functional
33488,non functional
18093,non functional
49263,functional
73265,non functional
54760,functional
48307,functional
47132,functional
54790,functional
54962,functional
46807,functional
46607,functional
22354,functional
29716,functional
18679,non functional
34111,functional
29700,functional
66401,functional
5618,functional
30671,non functional
60649,non functional
53871,non functional
40914,functional
2156,non functional
14700,non functional
66106,functional
61779,non functional
47332,non functional
25899,functional
7187,functional
34621,functional
5614,non functional
46745,non functional
3961,non functional
63362,non functional
37889,functional
19256,functional
30095,non functional
10406,functional
46146,functional needs repair
62352,functional
10657,functional
41685,non functional
26035,functional
64052,non functional
46420,functional
22908,non functional
56680,functional
6002,non functional
37582,functional needs repair
18858,functional
36526,non functional
44685,non functional
52966,functional
50186,functional
68371,functional
25880,non functional
5366,non functional
25605,functional
5219,functional
52488,functional
5825,functional
64057,non functional
15578,functional
48390,non functional
61409,non functional
16664,non functional
55409,functional
12312,non functional
63077,non functional
41143,functional
28610,functional
53178,non functional
35433,non functional
71631,functional
12463,functional
39466,non functional
38239,functional
27008,non functional
54988,non functional
17231,functional
22329,non functional
57352,non functional
6896,non functional
28708,non functional
61241,functional
24582,functional
20020,functional
15375,non functional
2820,functional
12264,functional
8405,functional
11884,functional
70499,non functional
72689,non functional
20115,functional
14847,non functional
51580,functional
6343,non functional
45411,non functional
4751,non functional
11246,non functional
14164,non functional
48661,functional
26578,non functional
13479,functional
5039,functional
23840,non functional
53138,functional needs repair
7840,functional
61475,functional
36460,non functional
54320,functional
74180,non functional
63617,functional
57242,non functional
62187,functional
33136,functional
21488,non functional
55294,functional
59758,non functional
8258,functional
69367,non functional
10780,non functional
36674,functional
7138,functional
66922,non functional
47359,functional
64180,non functional
20356,functional
29188,non functional
41253,functional
53601,non functional
58841,functional
17246,functional
25634,functional
49993,non functional
66816,functional
27011,non functional
13467,functional needs repair
48666,functional
69791,non functional
32510,functional
5894,functional
46182,functional
59038,functional needs repair
32731,non functional
64933,functional
70474,functional
62323,non functional
9493,non functional
26740,non functional
45233,non functional
4030,functional
61354,functional
16076,functional
50313,non functional
61440,functional needs repair
18399,functional
26412,non functional
36755,functional
12603,functional
64313,functional needs repair
38496,functional
54810,non functional
51798,functional
64244,functional
62859,functional
18241,functional
28144,non functional
22135,non functional
6036,non functional
1915,functional
54430,functional
50151,functional
15525,functional
64693,functional
73423,non functional
9540,functional
52460,non functional
71955,functional
56883,non functional
22039,non functional
60754,functional
45642,functional
2849,functional
34399,non functional
39275,functional
69524,functional
18838,functional
46498,functional
20058,non functional
47164,functional
54425,functional
68906,functional
34244,non functional
5663,non functional
61191,non functional
52792,non functional
5665,functional
3679,functional
31258,non functional
63738,functional
73172,non functional
3278,non functional
14620,non functional
60076,functional
44756,functional
58346,functional needs repair
40000,functional
51671,non functional
58515,functional
2029,non functional
10449,functional
44992,functional
61754,functional needs repair
46105,non functional
29315,non functional
2055,functional
34509,functional
69623,non functional
26746,functional
56631,functional
7261,non functional
63469,functional
52759,functional
55055,functional
3376,functional
67044,functional
33083,functional
7920,functional
72294,non functional
49901,non functional
52010,functional needs repair
41361,non functional
19933,functional
43360,functional
56878,non functional
12723,functional
49766,functional
26307,functional
17140,non functional
71865,functional
67536,functional
34562,functional
62167,functional
35178,non functional
8225,functional
43655,non functional
47797,non functional
31736,functional needs repair
65894,functional
7637,non functional
66729,non functional
10565,non functional
18567,functional
63759,functional
6483,non functional
45415,functional needs repair
20910,functional
25486,functional
19288,functional
31873,functional needs repair
61448,functional
44755,functional
38867,non functional
11987,functional
66722,functional
55702,functional
56272,non functional
70242,non functional
70920,non functional
72761,functional
12882,functional
26438,functional
60874,functional
38780,functional
7615,functional
31533,functional
62091,functional
42815,non functional
50813,non functional
30372,functional
68565,functional
6215,non functional
17496,non functional
46263,non functional
31889,functional
73535,non functional
30709,non functional
17270,non functional
29059,functional
45707,functional
31325,functional
55039,functional
23515,functional
29799,functional
2898,functional
72878,functional
62765,functional
33487,non functional
20089,non functional
44771,non functional
67190,functional
37614,non functional
4634,functional
51985,functional
34702,non functional
23532,functional
54241,functional
21764,non functional
45966,functional
74006,functional
7079,functional
43538,non functional
34128,functional
69013,functional
50512,non functional
31884,non functional
56541,functional
25578,functional
35247,functional
298,functional
28242,non functional
6163,non functional
11616,functional needs repair
4165,functional
67649,non functional
5584,functional
26917,functional
29987,non functional
73009,functional
52932,functional
67462,functional
32870,functional needs repair
32804,functional needs repair
49056,functional
36452,functional
33483,non functional
48172,functional
48715,functional needs repair
43221,functional
8090,functional needs repair
71165,non functional
4500,non functional
46224,functional
4137,functional
46435,functional
46605,functional
16487,functional
52638,non functional
17835,functional
31888,non functional
45929,functional
53277,functional needs repair
19043,non functional
30388,functional
45026,functional
73077,functional
62865,functional
33609,non functional
32810,non functional
22499,functional
21094,functional
4200,functional
50392,functional
42673,non functional
39005,functional
61330,functional
64593,functional
36650,functional
48460,non functional
57465,functional needs repair
3967,functional
43811,functional
59433,functional needs repair
59821,non functional
27418,non functional
32348,non functional
13249,functional
37164,non functional
27841,functional
59894,functional
16201,functional
14464,functional
59535,functional
72021,functional
22992,functional
51770,functional
34919,functional
15516,functional
33559,functional
27117,functional
45647,functional
65104,non functional
50520,functional
72941,non functional
17902,functional
73272,functional
72679,functional
14749,non functional
39807,non functional
43628,functional
51005,non functional
23689,non functional
21179,non functional
56440,functional
1872,functional
45694,non functional
27675,non functional
70019,non functional
21816,non functional
69633,functional needs repair
69622,functional
44413,functional
43573,functional
45867,functional
22214,functional needs repair
70382,non functional
24025,non functional
7604,non functional
59534,functional
64721,functional
51661,non functional
54764,non functional
