id,status_group
57831,functional
8085,functional
30748,functional
18878,functional needs repair
10581,functional needs repair
7505,functional
51442,functional needs repair
53128,functional
20578,non functional
9005,functional
38442,functional needs repair
2577,functional
8870,non functional
60385,functional
51102,functional needs repair
32534,non functional
37976,functional
53422,functional
7854,functional
72901,functional
27693,non functional
53627,functional
57862,functional
48704,functional
46163,non functional
52002,functional
53755,functional
52373,non functional
14489,functional
62638,functional
67781,functional
5582,functional
39448,functional
57893,functional
18443,functional
22652,functional
45065,functional
52025,non functional
71648,non functional
29740,non functional
47014,functional
22368,non functional
40011,non functional
43516,non functional
72861,non functional
37490,non functional
37462,functional needs repair
23651,functional
32398,non functional
66684,functional
51501,non functional
63950,functional
64065,functional
29722,functional
59977,functional
19774,non functional
5977,non functional
60640,functional
58325,non functional
56386,non functional
68899,functional
36790,functional needs repair
43806,non functional
8059,non functional
39298,non functional
17144,functional
51798,functional
71522,functional
6185,functional
6062,functional needs repair
18001,non functional
56995,functional
72681,functional
58594,non functional
67185,functional
62386,functional
56980,non functional
17099,non functional
59697,functional needs repair
70235,non functional
57191,functional
60783,non functional
72160,non functional
43214,functional
51182,functional
14139,non functional
45150,functional
47918,functional
22249,functional
32985,non functional
6152,non functional
12866,functional
54051,non functional
5535,functional
32566,non functional
42674,non functional
11872,functional
25529,non functional
60122,functional
46919,functional needs repair
11749,non functional
23781,functional
53893,non functional
67596,non functional
4856,non functional
57818,functional
9242,non functional
37291,non functional
4128,functional
19781,non functional
69312,functional
52119,non functional
43227,non functional
73230,non functional
45550,functional needs repair
27356,non functional
37024,non functional
502,non functional
55954,functional
46224,functional
56859,functional
15937,non functional
57239,functional
29931,functional needs repair
22585,non functional
51970,functional
50389,non functional
60185,non functional
62710,functional needs repair
2646,functional needs repair
27138,functional
33484,functional needs repair
67735,non functional
8985,functional
71947,functional
45555,non functional
63201,functional
58957,functional needs repair
71362,functional
39757,non functional
8724,functional needs repair
66022,non functional
52755,functional
38135,non functional
23445,non functional
15208,non functional
54464,non functional
33967,functional
13886,non functional
37616,non functional
57832,functional
14176,functional
20434,non functional
72216,functional
46713,functional
12631,functional
20067,functional
38706,non functional
23281,non functional
14178,functional
4458,non functional
36084,functional
44851,non functional
58195,functional
41051,non functional
48655,non functional
22592,functional
36261,non functional
32576,non functional
35837,functional
19136,functional
29644,functional
52162,functional
532,non functional
71012,functional
68599,functional
34813,functional
8441,non functional
38317,functional
64273,non functional
63119,non functional
20819,functional
41473,non functional
2160,functional
58674,functional
24196,functional
25807,non functional
54843,functional
24671,non functional
32779,non functional
37721,functional
18164,functional needs repair
17421,functional
46493,non functional
5690,functional
28471,functional
27172,non functional
36074,functional
73769,functional needs repair
53067,functional
18035,non functional
15014,functional
69771,non functional
6164,functional
58916,functional
14588,functional
47486,non functional
64724,non functional
21289,functional
27117,functional
43368,functional needs repair
59001,functional
49397,non functional
42549,non functional
51357,non functional
17498,functional needs repair
68295,non functional
68371,functional
27610,non functional
63205,functional
54277,functional
54652,functional
296,functional
17442,non functional
46573,functional
63442,functional needs repair
39225,non functional
50166,non functional
50165,functional
29529,functional needs repair
33572,non functional
69537,functional
31930,non functional
47030,functional
72020,non functional
43177,non functional
16149,non functional
70317,non functional
11442,functional
14000,non functional
21362,functional
13002,functional
2604,functional
61471,functional
67521,non functional
23456,non functional
6249,non functional
64284,non functional
60377,non functional
16516,non functional
10894,functional
28382,functional
11149,functional
60479,functional
68164,non functional
67902,functional
15721,non functional
13214,functional
15532,functional
68712,functional
46557,non functional
18746,functional
9916,functional
64463,non functional
45685,functional
70920,non functional
58820,non functional
70171,non functional
51046,functional
50642,non functional
64243,functional
1409,non functional
3579,non functional
10701,functional
25293,non functional
42849,non functional
37838,functional
45742,functional
27244,functional
36067,functional needs repair
33000,functional
33991,non functional
68408,non functional
2041,functional
9625,functional
53888,functional
3005,non functional
18387,non functional
62826,functional
57247,non functional
51243,non functional
3056,non functional
62363,functional
38450,non functional
17265,functional
29117,functional
45549,functional
6371,non functional
22095,functional
50501,functional
69609,non functional
54113,functional
43229,functional
15552,non functional
25779,functional
42280,non functional
70597,functional
43075,non functional
27225,non functional
33645,functional
22040,non functional
3628,non functional
16241,functional
36740,functional needs repair
8731,non functional
40993,functional needs repair
32686,functional
44802,non functional
56863,non functional
386,functional
43402,functional needs repair
20949,functional
40186,non functional
1437,functional
27843,non functional
72735,functional
12790,functional
9167,functional
65184,non functional
73006,functional
10841,functional
44783,functional
18180,functional
57689,non functional
55220,non functional
37057,functional
48033,functional needs repair
20462,functional
43059,functional
22632,non functional
9006,functional
5030,non functional
66413,non functional
50247,functional needs repair
62596,functional
60959,functional
32359,non functional
12367,non functional
11866,functional
42559,functional
62393,functional
71555,functional
63440,non functional
53333,functional
4634,functional
30406,non functional
28887,non functional
12685,functional
4602,non functional
68888,functional
52789,non functional
38264,functional
5040,non functional
17341,functional
20380,functional
58639,functional
25231,non functional
12862,functional
16786,functional
57806,non functional
65735,functional
15854,functional needs repair
15602,functional
21408,functional
21391,functional
7526,non functional
23815,non functional
31931,non functional
46407,non functional
69573,functional
5102,functional
33779,functional
8023,functional
26462,functional
52759,functional
62848,non functional
32111,non functional
12222,functional
26500,functional needs repair
50997,functional
42918,non functional
34914,functional
60080,functional
17571,functional
9089,functional
8146,non functional
64706,functional
29924,non functional
5909,non functional
38691,functional
34045,functional
2472,non functional
47261,non functional
23992,functional
72672,non functional
36599,functional
1572,functional
17094,functional
1655,functional needs repair
63280,functional
45851,functional
47426,non functional
9394,non functional
65765,non functional
65655,non functional
34740,non functional
2984,non functional
8966,non functional
60707,non functional
34832,functional
14204,non functional
49228,non functional
46964,non functional
52419,functional
16859,non functional
24048,functional
66586,functional
73933,functional
58153,non functional
71337,non functional
57778,functional
40350,non functional
43557,non functional
32539,functional
33188,non functional
64054,functional needs repair
22166,functional needs repair
34760,non functional
28025,non functional
67627,functional
53408,functional
54632,functional
23976,functional
30629,functional
52634,non functional
62870,functional
14762,functional
17118,functional
42998,functional
52189,functional
71064,non functional
73777,functional
57122,non functional
17567,non functional
17659,non functional
38239,functional
10179,functional
70400,functional
28021,functional needs repair
44438,non functional
26501,functional
17345,functional
67286,non functional
32986,functional
67209,functional
34500,non functional
1733,functional
67024,functional
8288,non functional
62563,non functional
28049,functional
764,functional
14701,functional
29042,non functional
48176,non functional
32330,non functional
62815,non functional
58951,non functional
7413,non functional
63,non functional
58185,functional needs repair
46999,functional
26614,functional
54796,functional
49854,functional
65082,non functional
14761,functional
11035,non functional
73704,non functional
22687,non functional
66426,non functional
60113,functional
16328,functional
34407,non functional
7906,non functional
35158,non functional
47241,functional
35747,non functional
4345,functional
37688,functional
32630,non functional
36393,non functional
39032,functional
69990,non functional
52322,functional
23219,functional
72141,functional needs repair
8096,functional
29655,functional needs repair
5709,functional
34958,functional
54720,functional
8291,functional
61806,functional
28821,functional
66381,non functional
35053,non functional
57868,functional
8344,functional
30222,functional
44681,functional
12803,functional needs repair
72418,non functional
26240,functional
8213,functional
57473,non functional
42680,non functional
53669,non functional
45241,non functional
15376,non functional
41687,non functional
3627,non functional
19314,functional
5506,functional
52247,functional
44182,functional
69173,functional
42118,non functional
19185,non functional
34577,non functional
60452,non functional
36988,functional
71698,functional
14764,functional
62852,non functional
11294,functional
57352,non functional
15129,non functional
24543,functional
46632,functional
30019,functional
42144,functional
1996,non functional
51777,functional
2110,functional
20571,functional
64980,functional needs repair
15381,non functional
63195,functional
3109,non functional
10249,functional
56946,functional
55476,functional
50129,non functional
46669,functional
21003,non functional
43473,functional
6859,non functional
58374,functional
70562,non functional
28721,non functional
15698,functional
52288,non functional
47883,non functional
65789,functional
15387,non functional
25212,functional
44673,non functional
9878,functional
71074,non functional
28566,non functional
56180,functional
53555,non functional
520,non functional
54155,functional
9977,functional
53116,functional
53878,non functional
33036,non functional
3209,non functional
25780,functional
9630,non functional
45772,functional needs repair
68136,non functional
30973,non functional
47361,non functional
49413,functional
59517,functional
13782,functional
63292,non functional
40310,functional
62677,non functional
13770,functional
6190,functional
69503,functional
44922,functional
61139,functional
67847,non functional
43018,functional
71453,functional needs repair
29974,non functional
35024,functional
19606,functional
22203,functional
36000,non functional
70874,functional
47269,functional
17440,functional
71429,functional
13876,non functional
53598,functional needs repair
10276,functional
23982,functional
26182,non functional
12268,functional
10935,non functional
57443,functional
27374,non functional
52264,non functional
21236,functional
20733,functional needs repair
28143,non functional
68807,non functional
56926,functional
47900,functional
36109,functional
11153,functional needs repair
9538,non functional
11672,functional
70313,non functional
13623,non functional
64949,non functional
9662,functional
56986,non functional
61377,functional
19406,functional
44992,functional
25303,functional
32452,non functional
13006,non functional
5792,non functional
62390,functional needs repair
307,non functional
58255,functional
67017,functional
14756,non functional
52893,functional needs repair
62850,non functional
36679,functional
2038,non functional
73297,functional
27480,functional
57812,functional
70987,non functional
28344,functional
6093,non functional
53421,functional needs repair
160,functional
21084,non functional
64984,non functional
53043,functional
22913,non functional
53347,functional
35689,functional
39572,functional needs repair
48079,functional
19201,functional needs repair
52404,functional
107,functional
12961,functional
14362,functional
51532,non functional
25088,non functional
13451,non functional
4699,functional needs repair
51538,functional
18942,non functional
1206,functional
33417,non functional
4058,non functional
22995,functional needs repair
44805,non functional
56437,non functional
58050,functional
46702,non functional
61815,non functional
11309,functional
21787,non functional
42259,functional
19958,functional
71045,functional
60528,functional
26596,functional
49053,functional needs repair
13093,non functional
66624,non functional
55254,non functional
33101,functional
66869,non functional
62906,non functional
38199,functional
30610,non functional
10235,functional
28702,functional
18601,functional
22801,functional
24418,non functional
28414,non functional
17224,non functional
11983,non functional
57927,non functional
25312,functional
44319,functional needs repair
23714,non functional
26513,functional
67158,functional
63266,non functional
53622,non functional
14446,non functional
23122,functional
8626,functional needs repair
71268,functional
42654,functional
47586,functional
1424,functional needs repair
48296,functional
31277,functional
46506,functional
50971,non functional
33028,functional
60495,functional
18791,non functional
14567,functional
1620,functional
797,functional
36989,functional needs repair
39342,non functional
36841,functional
63089,functional needs repair
5969,functional
68244,non functional
67850,non functional
10407,non functional
15712,non functional
22776,functional
58903,functional
4215,non functional
70690,non functional
73359,functional needs repair
70607,functional needs repair
44606,functional
28371,functional needs repair
53652,functional
45334,functional
11885,non functional
48784,non functional
70512,functional
57745,functional
1034,non functional
47950,functional
33582,functional
45079,functional
64092,functional
16889,functional
24903,functional
55689,non functional
30706,functional
50153,non functional
59971,functional
43637,functional
48062,functional
27031,non functional
46499,non functional
36166,non functional
70179,functional
60140,functional
20864,functional
27188,non functional
5530,non functional
25279,functional
68804,functional
31548,functional
8676,functional
16332,functional
57017,functional
30805,functional
1644,non functional
68520,functional needs repair
59413,functional
52395,non functional
66435,non functional
72489,functional
56687,functional
38412,non functional
68166,non functional
39287,functional
51236,non functional
8580,non functional
68628,functional
49856,non functional
54507,functional needs repair
25737,functional
42189,non functional
31104,functional
